Symbol, Mass_Number, Val, Version
V, 48, 0.043594162, 0
V, 49, -Infinity, 0
W, 178, -Infinity, 0
W, 181, -Infinity, 0
W, 185, -Infinity, 0
W, 187, 0.701329357, 0
W, 188, -Infinity, 0
Xe, 122, -Infinity, 0
Xe, 123, -Infinity, 0
Xe, 127, -Infinity, 0
Xe, 131m, -Infinity, 0
Xe, 133, 0.132153895, 0
Xe, 135, -Infinity, 0
Y, 87, -Infinity, 0
Y, 88, 0.006502319, 0
Y, 90, 0.259605686, 0
Y, 91, -Infinity, 0
Y, 91m, -Infinity, 0
Y, 92, -Infinity, 0
Y, 93, -Infinity, 0
Yb, 169, 0.021643264, 0
Yb, 175, -Infinity, 0
Zn, 65, 0.002836118, 0
Zn, 69, -Infinity, 0
Zn, 69m, -Infinity, 0
Zr, 88, -Infinity, 0
Zr, 93, -Infinity, 0
Zr, 95, 0.010827041, 0
Zr, 97, -Infinity, 0
